"Fecha","Medio","Posición","Artista","Canción","Nacionalidad","Genero"
"mar-23","Spotify","76","Bad Bunny","Moscow Mule","PR","Urbano"
"mar-23","Spotify","77","Young Miko","Lisa","PR","Urbano"
"mar-23","Spotify","78","Becky G, KAROL G","MAMIII","US, CO","Urbano"
"mar-23","Spotify","79","Harry Styles","As It Was","GB","Pop"
"mar-23","Spotify","80","Feid, Ak4:20, Taiko","Malibu","CO","Urbano"
"mar-23","Spotify","81","BRUNO MATEUS","Traketo - Intro Remix","BR","Latino/Tropical"
"mar-23","Spotify","82","Jimin","Set Me Free Pt.2","KR","Pop"
"mar-23","Spotify","83","Shakira, Ozuna","Monotonía","CO, PR","Pop"
"mar-23","Spotify","84","Rauw Alejandro, Chencho Corleone","Desesperados","PR, PR","Urbano"
"mar-23","Spotify","85","Jairo Vera, Balbi El Chamako, Nickoog Clk, El Rey, Gringuitos Records","Te Extraño a Lo Vio (feat. El Rey & Gringuitos Records)","CL","Urbano"
"mar-23","Spotify","86","Feid","Ferxxo 100","CO","Urbano"
"mar-23","Spotify","87","Maluma, Anuel AA","Diablo, Qué Chimba","CO, PR","Urbano"
"mar-23","Spotify","88","The Weeknd, Ariana Grande","Die For You (with Ariana Grande) - Remix","CA, US","Pop"
"mar-23","Spotify","89","Young Cister, Taiko","DEBI LLEVARTE FLORES","CL","Urbano"
"mar-23","Spotify","90","Bad Bunny","Neverita","PR","Urbano"
